title;link;published;language
“Music Bank” In Mexico Announces Performer Lineup - soompi;https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnNvb21waS5jb20vYXJ0aWNsZS8xNjAzMjYzd3BwL211c2ljLWJhbmstaW4tbWV4aWNvLWFubm91bmNlcy1wZXJmb3JtZXItbGluZXVw0gEA?oc=5;2023-07-27 03:26:40;1
'데드풀' 라이언 레이놀즈도 뉴진스 팬이었다 - MSN;https://news.google.com/rss/articles/CBMi1wFodHRwczovL3d3dy5tc24uY29tL2tvLWtyL25ld3Mvb3RoZXIvJUVCJThEJUIwJUVCJTkzJTlDJUVEJTkyJTgwLSVFQiU5RCVCQyVFQyU5RCVCNCVFQyU5NiVCOC0lRUIlQTAlODglRUMlOUQlQjQlRUIlODYlODAlRUMlQTYlODglRUIlOEYlODQtJUVCJTg5JUI0JUVDJUE3JTg0JUVDJThBJUE0LSVFRCU4QyVBQyVFQyU5RCVCNCVFQyU5NyU4OCVFQiU4QiVBNC9hci1BQTFlcHdnatIBAA?oc=5;2023-07-27 03:20:00;0
천재 뮤지션 소욘, 뉴진스의 'Attention' 국내최초 퍼커 피아노 버전 으로 깜짝 공개 - 뉴스프리존;https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3Lm5ld3NmcmVlem9uZS5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NTAwMzU30gFEaHR0cHM6Ly93d3cubmV3c2ZyZWV6b25lLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz01MDAzNTc?oc=5;2023-07-27 01:28:57;0
BTS vs 뉴진스? 더 뜨거워지는 갤럭시 vs 아이폰 전쟁 - 시사저널;https://news.google.com/rss/articles/CBMiPWh0dHA6Ly93d3cuc2lzYWpvdXJuYWwuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0yNjg4NTTSAQA?oc=5;2023-07-27 01:27:00;0
정국·NCT DREAM·뉴진스 29주차 써클차트 정상…'앨범 ISTJ-음원 슈퍼샤이' 다관왕 - 전자신문;https://news.google.com/rss/articles/CBMiI2h0dHBzOi8vbS5ldG5ld3MuY29tLzIwMjMwNzI3MDAwMDgy0gEA?oc=5;2023-07-27 01:16:58;0
뉴진스 ‘디토’, 스포티파이 4억 스트리밍 돌파...‘OMG’ 이어 두 번째 - 세계일보;https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vbS5zZWd5ZS5jb20vdmlldy8yMDIzMDcyNzUwNDU2N9IBKmh0dHBzOi8vbS5zZWd5ZS5jb20vYW1wVmlldy8yMDIzMDcyNzUwNDU2Nw?oc=5;2023-07-27 00:30:55;0
뉴진스 '디토', 스포티파이 4억 스트리밍 돌파 - KBS뉴스;https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy92aWV3LmRvP25jZD03NzM0MDk20gEA?oc=5;2023-07-27 00:22:00;0
NewJeans Are Headed For The Best Anniversary Present Ever - Forbes;https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvaHVnaG1jaW50eXJlLzIwMjMvMDcvMjYvbmV3amVhbnMtYXJlLWhlYWRlZC1mb3ItdGhlLWJlc3QtYW5uaXZlcnNhcnktcHJlc2VudC1ldmVyL9IBc2h0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvaHVnaG1jaW50eXJlLzIwMjMvMDcvMjYvbmV3amVhbnMtYXJlLWhlYWRlZC1mb3ItdGhlLWJlc3QtYW5uaXZlcnNhcnktcHJlc2VudC1ldmVyL2FtcC8?oc=5;2023-07-26 22:00:16;1
Ready for Lollapalooza 2023? Here’s How to Watch NewJeans, TOMORROW X TOGETHER & More Live - Billboard;https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vc2hvcC9sb2xsYXBhbG9vemEtMjAyMy13YXRjaC1saXZlc3RyZWFtLWh1bHUtbmV3amVhbnMtdG9tb3Jyb3cteC10b2dldGhlci0xMjM1Mzc5NTE1L9IBc2h0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vc2hvcC9sb2xsYXBhbG9vemEtMjAyMy13YXRjaC1saXZlc3RyZWFtLWh1bHUtbmV3amVhbnMtdG9tb3Jyb3cteC10b2dldGhlci0xMjM1Mzc5NTE1L2FtcC8?oc=5;2023-07-26 21:59:51;1
NewJeans and 'Barbie' Soundtrack Duel for No. 1 Album on Billboard 200 - Billboard;https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vcHJvL25ld2plYW5zLWJhcmJpZS1zb3VuZHRyYWNrLW51bWJlci1vbmUtYWxidW0tYmlsbGJvYXJkLTIwMC_SAQA?oc=5;2023-07-26 20:04:07;1
First Half of 2023: Chart-Topping K-pop Hits that achieved the ... - allkpop;https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmFsbGtwb3AuY29tL2FydGljbGUvMjAyMy8wNy9maXJzdC1oYWxmLW9mLTIwMjMtY2hhcnQtdG9wcGluZy1rLXBvcC1oaXRzLXRoYXQtYWNoaWV2ZWQtdGhlLWNvdmV0ZWQtcGVyZmVjdC1hbGwta2lsbNIBAA?oc=5;2023-07-26 19:31:00;1
NewJeans are predicted to join BLACKPINK as the only K-pop girl groups to have an album debut at #1 on the ... - allkpop;https://news.google.com/rss/articles/CBMipQFodHRwczovL3d3dy5hbGxrcG9wLmNvbS9hcnRpY2xlLzIwMjMvMDcvbmV3amVhbnMtYXJlLXByZWRpY3RlZC10by1qb2luLWJsYWNrcGluay1hcy10aGUtb25seS1rLXBvcC1naXJsLWdyb3Vwcy10by1oYXZlLWFuLWFsYnVtLWRlYnV0LWF0LTEtb24tdGhlLWJpbGxib2FyZC0yMDAtY2hhcnTSAQA?oc=5;2023-07-26 18:25:00;1
Multiple Threats To Kill Women At Sillim Station Surface Online ... - Koreaboo;https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL211bHRpcGxlLXRocmVhdHMta2lsbC13b21lbi1zaWxsaW0tc3RhdGlvbi1zdXJmYWNlLW9ubGluZS1wb2xpY2UtYWxlcnQv0gEA?oc=5;2023-07-26 16:38:04;1
"""He's Just Like Me"": Actor Ryan Reynolds Promotes NewJeans ... - Koreaboo";https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL3J5YW4tcmV5bm9sZHMtbmV3amVhbnMtY29tZWJhY2stdGlrdG9rLXN1cGVyLXNoeS_SAQA?oc=5;2023-07-26 16:31:54;1
Aespa's Karina Picks Her Favorite Members Of IVE, NewJeans, LE ... - Koreaboo;https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL2Flc3BhLWthcmluYS1mYXZvcml0ZS1tZW1iZXItaXZlLW5ld2plYW5zLWxlLXNzZXJhZmltLW5taXh4L9IBAA?oc=5;2023-07-26 16:26:09;1
K-Pop Fans Receive Unexpected Fraudulent Charges On Their ... - Koreaboo;https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9uZXdzL2twb3AtZmFucy11bmV4cGVjdGVkLWZyYXVkdWxlbnQtY2hhcmdlcy1jcmVkaXQtY2FyZHMtYXRlZXotYnRzLWV4aW1iYXktd2FsbWFydC_SAQA?oc=5;2023-07-26 15:32:22;1
This NewJeans Photocard Is Going Viral For An Unexpected Reason - Koreaboo;https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9zdG9yaWVzL25ld2plYW5zLXBob3RvY2FyZC1nb2luZy12aXJhbC11bmV4cGN0ZWQtcmVhc29uL9IBAA?oc=5;2023-07-26 15:19:52;1
"Record-Breaking Rookie Girl Group NewJeans Are ""Enjoying The ... - The GRAMMYs";https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmdyYW1teS5jb20vbmV3cy9uZXdqZWFucy1rcG9wLWludGVydmlldy1lcC1nZXQtdXAtdmlkZW9z0gEA?oc=5;2023-07-26 14:26:07;1
PSY, BTS’ SUGA’s That That, NewJeans’ Hype Boy, TREASURE’s DARARI, more: Vote for Most Katchy Song of the Year - PINKVILLA;https://news.google.com/rss/articles/CBMilQFodHRwczovL3d3dy5waW5rdmlsbGEuY29tL2VudGVydGFpbm1lbnQvcHN5LWJ0cy1zdWdhcy10aGF0LXRoYXQtbmV3amVhbnMtaHlwZS1ib3ktdHJlYXN1cmVzLWRhcmFyaS1tb3JlLXZvdGUtZm9yLW1vc3Qta2F0Y2h5LXNvbmctb2YtdGhlLXllYXItMTIzMjE5MNIBmQFodHRwczovL3d3dy5waW5rdmlsbGEuY29tL2VudGVydGFpbm1lbnQvcHN5LWJ0cy1zdWdhcy10aGF0LXRoYXQtbmV3amVhbnMtaHlwZS1ib3ktdHJlYXN1cmVzLWRhcmFyaS1tb3JlLXZvdGUtZm9yLW1vc3Qta2F0Y2h5LXNvbmctb2YtdGhlLXllYXItMTIzMjE5MD9hbXA?oc=5;2023-07-26 12:38:39;1
스포티파이, 뉴진스 신보 발매 기념 캠페인 진행 - news.kmib.co.kr;https://news.google.com/rss/articles/CBMiT2h0dHA6Ly9uZXdzLmttaWIuY28ua3IvYXJ0aWNsZS92aWV3LmFzcD9hcmNpZD0wMDE4NTA0NzU4JmNvZGU9NjExODExMTEmc2lkMT15ZW_SATJodHRwczovL20ua21pYi5jby5rci92aWV3X2FtcC5hc3A_YXJjaWQ9MDAxODUwNDc1OA?oc=5;2023-07-26 09:19:00;0
From Water To Apples: NewJeans Spills On What They Really Eat ... - Koreaboo;https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmtvcmVhYm9vLmNvbS9zdG9yaWVzL3dhdGVyLWFwcGxlcy1uZXdqZWFucy1zcGlsbHMtZWF0LWJyZWFrZmFzdC_SAQA?oc=5;2023-07-26 09:06:50;1
Listen to NewJeans' heartwarming cover of IU's 'Celebrity' - NME;https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3Lm5tZS5jb20vZW5fYXUvbmV3cy9tdXNpYy9uZXdqZWFucy1pdS1wYWxldHRlLWNlbGVicml0eS1odXJ0LWNvdmVyLXBlcmZvcm1hbmNlLTM0NzM2NDDSAQA?oc=5;2023-07-26 08:57:32;1
BTS·뉴진스, 페이커 팬도 털렸다···부정결제 피해 확산 '일파만파'[머니 ... - 헤럴드경제;https://news.google.com/rss/articles/CBMiNWh0dHA6Ly9uZXdzLmhlcmFsZGNvcnAuY29tL3ZpZXcucGhwP3VkPTIwMjMwNzI2MDAwNzA50gEA?oc=5;2023-07-26 08:20:29;0
뉴진스 신곡 'ETA' 뮤직비디오의 비밀은? - 충청신문;https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3LmRhaWx5Y2MubmV0L25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz03NTA5OTfSAT1odHRwczovL3d3dy5kYWlseWNjLm5ldC9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NzUwOTk3?oc=5;2023-07-26 05:54:24;0
