title;link;published;redirect;redirectLink;articleImage;articleBody;keywords0;keywords1;keywords2;keywords3;keywords4;keywords5;summary
[폴리#shorts] 후쿠시마 오염수 방류 막는 자가 '빌런'인가? - 폴리뉴스;https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LnBvbGluZXdzLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz02MTU0NzjSAUBodHRwczovL3d3dy5wb2xpbmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89NjE1NDc4?oc=5;2023-07-26 07:25:23;True;https://www.polinews.co.kr/news/articleView.html?idxno=615478;;;;;;;;;
“오염수 방류 반대” 한·일 녹색당 한 목소리 [포토] - 한겨레;https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9zb2NpZXR5L2Vudmlyb25tZW50LzExMDE4MTcuaHRtbNIBAA?oc=5;2023-07-26 07:02:03;True;https://www.hani.co.kr/arti/society/environment/1101817.html;;;;;;;;;
'오염수 방류', 무엇이 정말 위험한가 - 내외뉴스통신;https://news.google.com/rss/articles/CBMiO2h0dHA6Ly93d3cubmJubmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NzgyNDcz0gE-aHR0cDovL3d3dy5uYm5uZXdzLmNvLmtyL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz03ODI0NzM?oc=5;2023-07-26 06:34:25;True;http://www.nbnnews.co.kr/news/articleView.html?idxno=782473;;;;;;;;;
부산 시민단체, ‘오염수 방류 반대’ 10만명 서명들고 일본 방문 - 서울신문;https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LnNlb3VsLmNvLmtyL25ld3MvbmV3c1ZpZXcucGhwP2lkPTIwMjMwNzI2NTAwMTY10gEsaHR0cHM6Ly9hbXAuc2VvdWwuY28ua3Ivc2VvdWwvMjAyMzA3MjY1MDAxNjU?oc=5;2023-07-26 06:29:38;True;https://www.seoul.co.kr/news/newsView.php?id=20230726500165;;;;;;;;;
정부, “한·일 회의서 오염수 우려 전달”…한국 전문가 참관은 답 없어 - 한겨레;https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3LmhhbmkuY28ua3IvYXJ0aS9wb2xpdGljcy9wb2xpdGljc19nZW5lcmFsLzExMDE4MDMuaHRtbNIBAA?oc=5;2023-07-26 06:18:45;True;https://www.hani.co.kr/arti/politics/politics_general/1101803.html;;;;;;;;;
"반선호 부산시의원 ""오염수 방류 이후 대책·저지 방안 강구해야"" - 뉴스1 - 뉴스1";https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vd3d3Lm5ld3MxLmtyL2FydGljbGVzLz81MTIxNDE20gEqaHR0cHM6Ly93d3cubmV3czEua3IvYW1wL2FydGljbGVzLz81MTIxNDE2?oc=5;2023-07-26 05:52:56;True;https://www.news1.kr/articles/?5121416;;;;;;;;;
"""오염수 방류 반대"" 부산 NGO 일본 방문 예고, 해상서는 시위 - 연합뉴스";https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjMwNzI2MDk4ODAwMDUx0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIzMDcyNjA5ODgwMDA1MQ?oc=5;2023-07-26 05:30:00;True;https://www.yna.co.kr/view/AKR20230726098800051;//img6.yna.co.kr/reporter/39343838393837_065709.jpg;"차근호 기자 기자 페이지 부산시민 11만명 서명 일본 원자력규제위에 전달 예정 전남 어민들, 어선 200척 동원 드럼통 투척 등 퍼포먼스 오염수 방류 반대 시민단체 방일 출국 기자회견 [차근호 기자] (전국종합=연합뉴스) 일본이 후쿠시마 원전 오염수를 8월 중 해상에 방류하겠다고 예고한 가운데 전국에서 오염수 방류를 반대하는 목소리가 이어졌다. 부산지역 63개 시민단체 연합으로 구성된 '후쿠시마 핵 오염수 투기 반대 부산운동본부'는 26일 오전 부산역 광장에서 '방일 출국 기자회견'을 열었다. 이들은 운동본부 소속의 대표단 7명이 이날 저녁 서울 김포공항에서 출발해 2박3일 일정으로 일본을 항의 방문할 예정이라고 예고했다. 광고 앞서 이 단체는 6월 1일부터 이달 11일까지 '오염수 투기를 반대하는 부산시민 10만 선언' 운동을 벌여 11만1천678명의 서명을 받았다. 당초 이들은 부산에 있는 일본 영사관에 서명을 전달하려고 했지만, 영사관 측에서 면담과 수령을 거부하자 일본 원자력규제위원회에 직접 전달하기로 했다. 이들은 28일 오전 10시 일본 총리 관저 앞에서 규탄 기자회견을 열고, 같은 날 오후 2시 30분 일본 원자력규제위원회에 서명을 전달하겠다고 밝혔다. 같은 날 오후 4시에는 일본 시민단체와 연계해 도쿄전력 앞에서 '오염수 방류 항의 퍼포먼스'를 하고 오후 5시부터 일본 단체와 간담회도 할 예정이다. 해당 단체 관계자는 ""방류를 반대하는 부산시민의 목소리를 일본에 직접 전달하기 위해 방문을 추진했다""면서 ""핵 오염수 해양투기를 막기 위해 싸우는 일본 시민사회와 공동 대응하고 연대하는 방안에 대해서도 논의하겠다""고 말했다. 경기 수원에서는 지역 수산물 판매자와 시민사회단체, 정당 등 50여개 단체가 모인 '후쿠시마 방사성 오염수 해양투기 저지 수원 공동행동'이 낮 12시부터 팔달구 수원화성 행궁 광장에서 오염수 투기 반대 활동을 했다. 이들은 오염수 투기를 반대하는 내용이 적힌 피켓을 들고, 오염수 투기에 시민들이 쓰러지는 퍼포먼스를 했다. 또 행궁 광장에서 장안문까지 행진하며 오염수 투기 반대 목소리를 높였다. 전남지역 어민들도 이날 보성군 회천면 율포항 주변에서 어선 200여 척을 동원한 해상시위를 열었다. 일본이 오염수를 방류하는 것에 빗대 일장기를 건 선박에서 드럼통 120개를 바다에 버리는 퍼포먼스를 연출했다. 이후 이순신 장군의 '학익진' 대형을 한 국내 어선 12척이 드럼통을 회수해 일본에 돌려주는 장면을 만들며, 핵 오염수를 육상에 보관할 것을 촉구했다. (차근호, 정회성, 최종호) 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포 금지> 2023/07/26 14:30 송고";"['가운데' '간담' '거부' '경기' '계해' '공동' '관계자' '관저' '관할' '광고' '광장' '구성' '국내' '규제'
 '규탄' '근호' '금지' '기자' '기자회견' '김포공항' '내용' '논의' '단체' '당초' '대응' '대표' '대해' '대형'
 '도쿄전력' '동원' '드럼통' '면담' '면서' '명의' '목소리' '무단' '바다' '반대' '방류' '방문' '방사성'
 '방안' '방일' '배포' '보성군' '본부' '부산' '서도' '서명' '서울' '선박' '선언' '소속' '수령' '수산물'
 '수원' '수원화성' '시민' '시민단체' '시민사회' '시민사회단체' '시위' '앞서' '어민' '어선' '여개' '연대'
 '연출' '연합' '연합뉴스' '영사관' '예고' '예정' '오염수' '오전' '오후' '운동' '원자력' '원전' '위원회'
 '위해' '육상' '율포항' '이순신' '이후' '일본' '일장기' '일정' '장군' '장면' '장안문' '저녁' '저작권'
 '저지' '전국' '전남' '전달' '정당' '정회' '제보' '종합' '주변' '지역' '직접' '촉구' '총리' '최종호'
 '추진' '출국' '출발' '카카오' '투기' '투척' '판매' '팔달구' '퍼포먼스' '페이지' '피켓' '항의' '해당'
 '해상' '해양' '행궁' '행동' '행진' '활동' '회도' '회수' '회천면' '후쿠시마']";['원자력', '도쿄전력', '방사성', '일본', '후쿠시마'];['오염수', '원전', '서울', '원자력', '일본'];['오염수', '원전', '서울', '원자력', '일본'];['후쿠시마', '서울', '원자력', '일본', '방사성'];['후쿠시마', '시위', '서울', '저작권', '드럼통'];일본이 후쿠시마 원전 오염수를 8월 중 해상에 방류하겠다고 예고한 가운데 부산지역 63개 시민단체 연합으로 구성된 '후쿠시마 핵 오염수 투기 반대 부산운동본부'는 26일 오전 부산역 광장에서 '방일 출국 기자회견'을 개최하고 운동본부 소속의 대표단 7명이 이날 저녁 서울 김포공항에서 출발해 2박3일 일정으로 일본을 항의 방문할 예정이라고 예고했다.
정부 “오염수 한일 실무협의서 우리 요구 전달…일, 진지하게 검토하겠다 해” - KBS뉴스;https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy92aWV3LmRvP25jZD03NzMzMzA00gEA?oc=5;2023-07-26 05:29:00;True;https://news.kbs.co.kr/news/view.do?ncd=7733304;/resources/images/common/noimg_633_355.png;이슈 후쿠시마 원전 오염수 방류 정부 “오염수 한일 실무협의서 우리 요구 전달…일, 진지하게 검토하겠다 해” 입력 2023.07.26 (14:29) 수정 2023.07.26 (14:33) 정치 댓글 좋아요 공유하기 인쇄하기 글씨 크게보기 가 글씨 작게보기 고화질 표준화질 자동재생 키보드 컨트롤 안내 동영상영역 시작 동영상 시작 동영상영역 끝 동영상설명 동영상 고정 취소 정부가 일본 원전 오염수 방류 관련 한일 실무협의에서 우리 측 요구 사항과 기술 권고 사항에 대한 진지한 협의가 진행됐다고 밝혔습니다. 다만, 아직 협의가 진행 중인 만큼 우리 측 요구에 대한 일본 측의 수용 여부 등 구체적인 내용은 공개하기 어렵다고 했습니다. 박구연 국무조정실 국무1차장은 오늘(26일) 정부서울청사에서 열린 일본 오염수 방류 관련 일일 브리핑에서, 어제 한일 국장급 회의 결과를 이 같이 전했습니다. 박 차장은 “한일 정상회담 결과를 토대로, 오염수 방류의 안전성에 대한 과학적 평가를 기반으로, 투명성과 신뢰성을 제고하고 우리 국민께서 안심하시는 데 기여할 수 있는 구체적인 협력 방안에 대해 양측 전문가가 참여한 가운데 6시간 넘게 진지한 회의를 했다”고 했습니다. 박 차장은 “최인접국 입장에서 오염수 이슈에 대한 국민의 우려와 관심을 전달하고, 과학적·객관적으로 안전을 담보하기 위해 향후 장기간에 걸친 모니터링이 실효적이고 투명하게 이뤄져야 한다는 입장을 강조했다”고 말했습니다. 이어 “일본 측은 우리 측 입장과 제안을 잘 이해했으며, 앞으로 이번 국장급 회의에서 논의된 내용을 진지하게 검토해나갈 것이라는 입장을 피력했다”고 설명했습니다. 한일 국장급 실무협의에서는, 한일정상회담 당시 윤석열 대통령이 요청한 오염수 방류 검증에 우리 전문가 참여, 방류 모니터링 정보 실시간 공유, 기준치 이상의 방사성 물질 검출 시 즉각 방류 중단과 통보가 논의됐다고 했습니다. 또 다핵종 제거설비(ALPS·알프스)의 점검주기 단축과, 알프스 입·출구 농도 측정 시 5가지 핵종 추가 측정, 오염수 방류 이후 방사선 영향평가 재수행, 오염수 방류 뒤 인근 주민 피폭선량 평가에 반영 등의 기술적 권고사항도 전달했다고 밝혔습니다. 회의에 참석했던 윤현수 외교부 국장은 “우리 입장을 자세히 설명했고, 시종일관 진지한 협의가 이뤄졌다”면서 “추가 협의가 필요한 거로 생각하고 있고, 추가 협의는 굉장히 속도감 있게 진행할 예정”이라고 말했습니다. 우리 요구에 일본 측에 어떤 반응을 보였는지에 대해서는 “지금 협의 중인 사항인 것이고, 일본 측에서 검토가 필요한 사항이기 때문에 말씀드리기 어렵다”면서, 신속하게 검토한다는 데 공감대가 있기 때문에 속도감 있게 검토할 거로 기대된다고만 했습니다. 정부는 한편, 일본 오염수 처리계획에 대한 한국원자력안전기술원의 검토 보고서를 홈페이지를 통해 공개했습니다. 수산물 생산단계 방사능 검사 결과와 생산 지역별 방사능 안전 신호등도 포털사이트에서 ‘수산물 방사능’ 등의 검색어로 검색하면 확인할 수 있다고 밝혔습니다. [사진 출처 : 연합뉴스] 정부 “오염수 한일 실무협의서 우리 요구 전달…일, 진지하게 검토하겠다 해” 입력 2023-07-26 14:29:41 수정 2023-07-26 14:33:19 정치 정부가 일본 원전 오염수 방류 관련 한일 실무협의에서 우리 측 요구 사항과 기술 권고 사항에 대한 진지한 협의가 진행됐다고 밝혔습니다. 다만, 아직 협의가 진행 중인 만큼 우리 측 요구에 대한 일본 측의 수용 여부 등 구체적인 내용은 공개하기 어렵다고 했습니다. 박구연 국무조정실 국무1차장은 오늘(26일) 정부서울청사에서 열린 일본 오염수 방류 관련 일일 브리핑에서, 어제 한일 국장급 회의 결과를 이 같이 전했습니다. 박 차장은 “한일 정상회담 결과를 토대로, 오염수 방류의 안전성에 대한 과학적 평가를 기반으로, 투명성과 신뢰성을 제고하고 우리 국민께서 안심하시는 데 기여할 수 있는 구체적인 협력 방안에 대해 양측 전문가가 참여한 가운데 6시간 넘게 진지한 회의를 했다”고 했습니다. 박 차장은 “최인접국 입장에서 오염수 이슈에 대한 국민의 우려와 관심을 전달하고, 과학적·객관적으로 안전을 담보하기 위해 향후 장기간에 걸친 모니터링이 실효적이고 투명하게 이뤄져야 한다는 입장을 강조했다”고 말했습니다. 이어 “일본 측은 우리 측 입장과 제안을 잘 이해했으며, 앞으로 이번 국장급 회의에서 논의된 내용을 진지하게 검토해나갈 것이라는 입장을 피력했다”고 설명했습니다. 한일 국장급 실무협의에서는, 한일정상회담 당시 윤석열 대통령이 요청한 오염수 방류 검증에 우리 전문가 참여, 방류 모니터링 정보 실시간 공유, 기준치 이상의 방사성 물질 검출 시 즉각 방류 중단과 통보가 논의됐다고 했습니다. 또 다핵종 제거설비(ALPS·알프스)의 점검주기 단축과, 알프스 입·출구 농도 측정 시 5가지 핵종 추가 측정, 오염수 방류 이후 방사선 영향평가 재수행, 오염수 방류 뒤 인근 주민 피폭선량 평가에 반영 등의 기술적 권고사항도 전달했다고 밝혔습니다. 회의에 참석했던 윤현수 외교부 국장은 “우리 입장을 자세히 설명했고, 시종일관 진지한 협의가 이뤄졌다”면서 “추가 협의가 필요한 거로 생각하고 있고, 추가 협의는 굉장히 속도감 있게 진행할 예정”이라고 말했습니다. 우리 요구에 일본 측에 어떤 반응을 보였는지에 대해서는 “지금 협의 중인 사항인 것이고, 일본 측에서 검토가 필요한 사항이기 때문에 말씀드리기 어렵다”면서, 신속하게 검토한다는 데 공감대가 있기 때문에 속도감 있게 검토할 거로 기대된다고만 했습니다. 정부는 한편, 일본 오염수 처리계획에 대한 한국원자력안전기술원의 검토 보고서를 홈페이지를 통해 공개했습니다. 수산물 생산단계 방사능 검사 결과와 생산 지역별 방사능 안전 신호등도 포털사이트에서 ‘수산물 방사능’ 등의 검색어로 검색하면 확인할 수 있다고 밝혔습니다. [사진 출처 : 연합뉴스] ■ 제보하기 ▷ 카카오톡 : 'KBS제보' 검색, 채널 추가 ▷ 전화 : 02-781-1234, 4444 ▷ 이메일 : kbs1234@kbs.co.kr ▷ 유튜브, 네이버, 카카오에서도 KBS뉴스를 구독해주세요! 기자 정보 조태흠 기자 jotem@kbs.co.kr 조태흠 기자의 기사 모음 댓글 좋아요 공유하기;"['가운데' '가지' '강조' '객관' '검사' '검색' '검색어' '검증' '검토' '결과' '계획' '고정' '고하' '고화질'
 '공감' '공개' '공유' '과학' '관련' '관심' '구독' '구연' '구체' '국무' '국무조정실' '국민' '국장' '권고'
 '글씨' '기대' '기반' '기사' '기술' '기여' '기자' '내용' '네이버' '논의' '농도' '뉴스' '다만' '단계'
 '단축' '담보' '당시' '대가' '대통령' '대한' '대해' '댓글' '도감' '동영상' '때문' '만큼' '면서' '모니터링'
 '모음' '물질' '반영' '반응' '방류' '방사' '방사선' '방사성' '방안' '보고서' '보기' '보드' '브리핑' '사진'
 '사항' '생각' '생산' '서울' '선량' '설명' '설비' '성과' '수산물' '수용' '수정' '수행' '시작' '시종일관'
 '신뢰' '신호등' '실무' '실시간' '실효' '안내' '안심' '안전' '안전성' '알프스' '어제' '여부' '연합뉴스'
 '영역' '영향' '예정' '오늘' '오염수' '외교부' '요구' '요청' '우려' '우리' '원자력' '원전' '위해' '유튜브'
 '윤석열' '이기' '이메일' '이번' '이상' '이슈' '이해' '이후' '인근' '인쇄' '인접' '일본' '일일' '입력'
 '입장' '자동' '장기간' '재생' '전달' '전문가' '전화' '점검' '정보' '정부' '정상회담' '정치' '제거' '제보'
 '제안' '주기' '주민' '준치' '중단' '중인' '즉각' '지금' '지역별' '진행' '차장' '참석' '참여' '채널'
 '처리' '청사' '추가' '출구' '출처' '취소' '측은' '측정' '카카오' '컨트롤' '크게' '태흠' '토대' '통보'
 '통해' '투명' '평가' '포털사이트' '표준' '피폭' '한국' '한일' '한일정상회담' '한편' '핵종' '향후' '현수'
 '협력' '협의' '홈페이지' '화질' '확인' '회의' '후쿠시마']";['준치', '포털사이트', '서울', '한국', '네이버'];['연합뉴스', '일본', '카카오', '포털사이트', '서울'];['연합뉴스', '일본', '카카오', '포털사이트', '서울'];['네이버', '한국', '서울', '포털사이트', '일본'];['네이버', '정치', '일본', '뉴스', '원자력'];
日 후쿠시마 오염수 방류 임박…포항시. 영일만 앞바다 검사 강화 - 동아일보;https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1NvY2lldHkvYXJ0aWNsZS9hbGwvMjAyMzA3MjYvMTIwNDIxMzE2LzHSAQA?oc=5;2023-07-26 05:23:00;True;https://www.donga.com/news/Society/article/all/20230726/120421316/1;;;;;;;;;
"""도민 세금으로 오염수 방류 홍보한 충남, 세금이 아깝다"" - 오마이뉴스";https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm9obXluZXdzLmNvbS9OV1NfV2ViL1ZpZXcvYXRfcGcuYXNweD9DTlROX0NEPUEwMDAyOTQ3ODE30gFCaHR0cHM6Ly9tLm9obXluZXdzLmNvbS9OV1NfV2ViL01vYmlsZS9hbXAuYXNweD9DTlROX0NEPUEwMDAyOTQ3ODE3?oc=5;2023-07-26 04:33:00;True;https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002947817;;;;;;;;;
